Name,Code,Question,Reponse,nombreconnexion,datepremiereconnexion,datederniereconnexion,echecconnexion,perfenregistre,nombredeprediction,messageenvoye,messagesansreponse
 gofro, gofro6362,Quel est ton record personnel sur 10 km (approximatif) ?,40,11,2025-10-27 10:20:18,2025-11-07 10:25:17,7.0,3.0,4.0,1.0,
 maminou, maminou7263,Quel est le prénom de ton premier coach ?,martin,1,2025-10-27 11:06:06,2025-10-27 11:06:06,0.0,0.0,0.0,0.0,0.0
 Benoitgofadmin, Benoitgofadmin9660,Quel est ton record personnel sur 10 km (approximatif) ?,40,14,2025-10-27 11:23:18,2025-11-07 10:35:57,0.0,1.0,4.0,0.0,0.0
 kiki, kiki5018,Quel est le prénom de ton premier coach ?,martin,2,2025-11-07 09:33:46,2025-11-07 09:34:18,2.0,2.0,1.0,0.0,0.0
Benoitgofadmin,Benoitgofadmin433,Dans quelle ville as-tu couru ta première course ?,martique,1,2025-11-07 09:40:18,2025-11-07 09:40:18,1.0,0.0,0.0,0.0,0.0
 pipi, pipi5337,Quel est le prénom de ton premier coach ?,martin,1,2025-11-07 09:41:13,2025-11-07 09:41:13,0.0,0.0,0.0,0.0,0.0
 flac, flac5682,Quelle marque de chaussures utilises-tu le plus souvent ?,nike,1,2025-11-07 09:57:14,2025-11-07 09:57:14,0.0,2.0,3.0,0.0,0.0
 romulus, romulus7917,Quel est le prénom de ton premier coach ?,martin,1,2025-11-07 10:01:11,2025-11-07 10:01:11,0.0,2.0,2.0,0.0,0.0
 lilo, lilo6310,Quel est le prénom de ton premier coach ?,nike,2,2025-11-07 10:02:58,2025-11-07 10:08:00,0.0,3.0,4.0,0.0,0.0
 chlag, chlag1666,Quel est le prénom de ton premier coach ?, gofro,1,2025-11-07 10:19:21,2025-11-07 10:19:21,0.0,2.0,1.0,0.0,0.0
 bestman, bestman547,Quel est le prénom de ton premier coach ?, gofro,3,2025-11-07 10:23:13,2025-11-07 10:37:13,0.0,5.0,8.0,0.0,0.0
